url,verdict,merge_target_or_new_slug,category,reason
https://www.promationusa.com/7483kxz,KEEP,https://www.promationusa.com/promation-7483kxz-screw-driving-robot,product-screw-driving,Content is fine but slug is non-descriptive legacy; migrate under new slug + 301 [SLUG-CLEAN]
https://www.promationusa.com/9101,KEEP,https://www.promationusa.com/quick-9101,product-soldering,Content is fine but slug is non-descriptive legacy; migrate under new slug + 301 [SLUG-CLEAN]
https://www.promationusa.com/9152n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9153a,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9153n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9153na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9154n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9154na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9181,KEEP,https://www.promationusa.com/quick-9181,product-soldering,Content is fine but slug is non-descriptive legacy; migrate under new slug + 301 [SLUG-CLEAN]
https://www.promationusa.com/9244cj,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9252d,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9252k,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9252n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9253n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9253na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9254n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9254na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9264ec,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9333-light-curtain,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9334,KEEP,https://www.promationusa.com/quick-9334,product-soldering,Content is fine but slug is non-descriptive legacy; migrate under new slug + 301 [SLUG-CLEAN]
https://www.promationusa.com/9353n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9353na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9354n,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9354na,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
https://www.promationusa.com/9394f,KEEP,,product-soldering,Soldering robot / soldering product page; migrate as-is
